dataset,subject,Age,Sex,ERQReappraisal,ERQSuppression,strategy1_reappraise_yn_final,strategy1_best_fit_final,reg_rating,look_neg_rating,look_neu_rating,reg_success,emotion_reactivity
AHAB,159,53.5068493150685,-1,27,10,1,3,2.4,4.35714285714286,1.06666666666667,1.95714285714286,3.29047619047619
AHAB,160,34.7095890410959,-1,26,19,1,4,2.4,3.07692307692308,1.33333333333333,0.67692307692308,1.74358974358975
AHAB,161,41.413698630137,1,35,21,1,1,2.66666666666667,3.23076923076923,1.35714285714286,0.56410256410256,1.87362637362637
AHAB,162,51.5671232876712,-1,24,18,1,3,2.8,3.07692307692308,1,0.27692307692308,2.07692307692308
AHAB,163,53.2739726027397,-1,42,10,1,1,3.88888888888889,4.18181818181818,1,0.29292929292929,3.18181818181818
AHAB,164,40.186301369863,-1,34,9,1,5,1.92857142857143,3.85714285714286,1.5,1.92857142857143,2.35714285714286
AHAB,165,43.9068493150685,-1,11,20,1,1,3.64285714285714,3.83333333333333,1.21428571428571,0.19047619047619,2.61904761904762
AHAB,166,47.8520547945205,1,35,10,1,1,2.66666666666667,4.58333333333333,1.30769230769231,1.91666666666666,3.27564102564102
AHAB,167,49.7671232876712,1,37,13,1,1,2.85714285714286,3.13333333333333,1,0.27619047619047,2.13333333333333
AHAB,168,41.7479452054795,-1,33,6,1,1,3.46666666666667,4,1,0.53333333333333,3
AHAB,169,42.227397260274,1,33,10,1,1,3.13333333333333,2.71428571428571,1,-0.41904761904762,1.71428571428571
AHAB,170,50.5671232876712,1,30,16,1,1,3.64285714285714,3.71428571428571,1.06666666666667,0.0714285714285698,2.64761904761904
AHAB,171,47.427397260274,1,34,10,1,1,4.09090909090909,3.66666666666667,1,-0.42424242424242,2.66666666666667
AHAB,172,54.4109589041096,1,34,9,1,2,2.26666666666667,3.07142857142857,1,0.8047619047619,2.07142857142857
AHAB,173,42.6739726027397,1,36,13,1,2,2.14285714285714,3.46153846153846,1,1.31868131868132,2.46153846153846
AHAB,174,40.9808219178082,1,28,16,1,3,3.06666666666667,3.93333333333333,1.35714285714286,0.86666666666666,2.57619047619047
AHAB,175,54.558904109589,-1,30,24,1,3,4.46153846153846,4.42857142857143,1,-0.0329670329670302,3.42857142857143
AHAB,176,36.9232876712329,-1,41,10,0,9,3.86666666666667,3.76923076923077,1.07142857142857,-0.0974358974358998,2.6978021978022
AHAB,177,47.172602739726,-1,28,6,1,1,3.26666666666667,3.14285714285714,1,-0.12380952380953,2.14285714285714
AHAB,178,54.2876712328767,1,36,8,1,4,3.07692307692308,4.46666666666667,1.28571428571429,1.38974358974359,3.18095238095238
AHAB,179,44.0849315068493,-1,32,21,1,1,2.92857142857143,2.8,1,-0.12857142857143,1.8
AHAB,180,40.5808219178082,1,30,12,1,1,3.46666666666667,4.23076923076923,1,0.76410256410256,3.23076923076923
AHAB,181,32.1369863013699,-1,36,18,1,2,2.26666666666667,2.42857142857143,1,0.16190476190476,1.42857142857143
AHAB,182,41.6219178082192,1,25,18,1,1,3.46666666666667,4.4,1.15384615384615,0.93333333333333,3.24615384615385
PIP,1,42.7095890410959,-1,30,15,1,6,2.93333333333333,3.73333333333333,1.06666666666667,0.8,2.66666666666666
PIP,2,47.0986301369863,-1,32,24,1,2,4,4.08333333333333,1.06666666666667,0.0833333333333304,3.01666666666666
PIP,3,48.6904109589041,-1,20,4,1,3,2.06666666666667,3.66666666666667,2.93333333333333,1.6,0.73333333333334
PIP,4,49.4876712328767,1,24,16,0,9,3.57142857142857,3.38461538461538,1.46666666666667,-0.18681318681319,1.91794871794871
PIP,5,39.6849315068493,1,38,13,1,1,2.46666666666667,4.35714285714286,1.53333333333333,1.89047619047619,2.82380952380953
PIP,6,43.4027397260274,1,27,6,1,4,3.66666666666667,3.2,1.06666666666667,-0.46666666666667,2.13333333333333
PIP,7,33.8246575342466,1,20,12,0,8,3.5,4.06666666666667,1.53333333333333,0.56666666666667,2.53333333333334
PIP,8,30.641095890411,-1,29,16,1,4,3.4,4.06666666666667,1.26666666666667,0.66666666666667,2.8
PIP,9,32.4164383561644,1,37,18,1,3,2.71428571428571,3.66666666666667,1.06666666666667,0.95238095238096,2.6
PIP,10,40.9890410958904,-1,28,22,1,4,3.64285714285714,3.83333333333333,1.06666666666667,0.19047619047619,2.76666666666666
PIP,11,37.0849315068493,-1,42,22,1,3,1.57142857142857,2.06666666666667,1,0.4952380952381,1.06666666666667
PIP,12,31.172602739726,1,27,6,1,3,3.4,3.57142857142857,1,0.17142857142857,2.57142857142857
PIP,13,31.6219178082192,1,30,4,1,4,4.2,3.73333333333333,1,-0.46666666666667,2.73333333333333
PIP,14,43.1260273972603,-1,26,18,1,2,2.8,3.46666666666667,1.06666666666667,0.66666666666667,2.4
PIP,15,31.4301369863014,1,35,12,1,3,2.73333333333333,4.06666666666667,1.2,1.33333333333334,2.86666666666667
PIP,16,44.8794520547945,1,26,18,1,2,3.26666666666667,4.38461538461539,1.46666666666667,1.11794871794872,2.91794871794872
PIP,17,41.4164383561644,1,30,12,1,3,2.66666666666667,2.25,1.33333333333333,-0.41666666666667,0.91666666666667
PIP,18,33.0301369863014,-1,35,20,1,1,3.5,3.53846153846154,1.13333333333333,0.0384615384615401,2.40512820512821
PIP,19,35.9506849315068,1,27,10,1,2,1.53333333333333,3.26666666666667,1.06666666666667,1.73333333333334,2.2
PIP,20,47.2767123287671,1,29,7,1,2,2,2.86666666666667,1,0.86666666666667,1.86666666666667
PIP,21,38.8438356164384,-1,33,15,1,1,2.64285714285714,3.66666666666667,1.28571428571429,1.02380952380953,2.38095238095238
PIP,22,36.9643835616438,-1,29,12,1,4,3.14285714285714,3.33333333333333,1.2,0.19047619047619,2.13333333333333
PIP,23,49.827397260274,1,30,11,0,4,2.4,4.35714285714286,1.33333333333333,1.95714285714286,3.02380952380953
PIP,24,48.8821917808219,-1,26,22,1,1,4.53333333333333,4.6,1,0.06666666666667,3.6
PIP,25,30.2328767123288,1,42,7,1,2,1.5,1.42857142857143,1,-0.0714285714285701,0.42857142857143
PIP,26,34.7835616438356,1,27,13,1,2,2.06666666666667,3.53333333333333,1.53333333333333,1.46666666666666,2
PIP,27,36.8438356164384,1,23,9,1,1,2.86666666666667,3.2,1,0.33333333333333,2.2
PIP,28,40.5780821917808,1,32,10,1,1,3.375,4,1,0.625,3
PIP,29,47.4876712328767,-1,27,17,1,3,3.2,4.35714285714286,1.5,1.15714285714286,2.85714285714286
PIP,30,35.5671232876712,-1,31,15,1,1,2.66666666666667,3.26666666666667,1.26666666666667,0.6,2
PIP,31,49.1178082191781,-1,31,19,1,3,3.06666666666667,4.13333333333333,1.33333333333333,1.06666666666666,2.8
PIP,32,37.2082191780822,1,30,13,1,3,3,3.26666666666667,1.06666666666667,0.26666666666667,2.2
PIP,33,41.5095890410959,1,30,20,1,3,4.07142857142857,4.21428571428571,1.73333333333333,0.14285714285714,2.48095238095238
PIP,34,30.9671232876712,-1,26,9,1,2,3.42857142857143,4.07142857142857,1.07692307692308,0.64285714285714,2.99450549450549
PIP,35,36.2684931506849,1,34,13,1,1,3.53333333333333,4.06666666666667,1.14285714285714,0.53333333333334,2.92380952380953
PIP,36,34.4876712328767,-1,31,15,1,1,3.6,4,1,0.4,3
PIP,37,48.0657534246575,-1,28,15,1,1,3.2,3.86666666666667,1.06666666666667,0.66666666666667,2.8
PIP,38,37.6986301369863,-1,24,10,1,3,2.66666666666667,3.6,1.46666666666667,0.93333333333333,2.13333333333333
PIP,39,48.0109589041096,-1,30,14,1,6,4.46666666666667,3.86666666666667,1.28571428571429,-0.600000000000001,2.58095238095238
PIP,40,48.5369863013699,1,32,12,1,3,3.26666666666667,4,1,0.73333333333333,3
PIP,41,44.2520547945205,-1,27,14,1,2,2.93333333333333,3.42857142857143,1,0.4952380952381,2.42857142857143
PIP,42,42.6493150684932,1,31,7,1,1,2.73333333333333,3.21428571428571,1.13333333333333,0.48095238095238,2.08095238095238
PIP,43,34.5479452054795,1,10,23,1,3,3.41666666666667,4.21428571428571,1.4,0.79761904761904,2.81428571428571
PIP,44,47.6986301369863,1,31,12,1,3,2.33333333333333,3.07142857142857,1.06666666666667,0.73809523809524,2.0047619047619
PIP,45,48.2219178082192,-1,32,16,1,4,2.13333333333333,4.38461538461539,1.26666666666667,2.25128205128206,3.11794871794872
PIP,46,34.4602739726027,1,40,16,1,3,4.30769230769231,4.46153846153846,1.07692307692308,0.15384615384615,3.38461538461538
PIP,47,32.9424657534247,1,32,14,1,2,1.86666666666667,2.85714285714286,1.23076923076923,0.99047619047619,1.62637362637363
PIP,48,48.1945205479452,-1,34,19,1,3,3.8,4.42857142857143,1.26666666666667,0.62857142857143,3.16190476190476
