SubID,Sample,Age,Sex,ERQReappraisal,ERQSuppression,strategy1_reappraise_yn_final,strategy1_best_fit_final,RegNeg_Rating,LookNeg_Rating,LookNeuRating
169,AHAB,42.227397260274,1,33,10,1,1,3.13333333333333,2.71428571428571,1
170,AHAB,50.5671232876712,1,30,16,1,1,3.64285714285714,3.71428571428571,1.06666666666667
171,AHAB,47.427397260274,1,34,10,1,1,4.09090909090909,3.66666666666667,1
172,AHAB,54.4109589041096,1,34,9,1,2,2.26666666666667,3.07142857142857,1
173,AHAB,42.6739726027397,1,36,13,1,2,2.14285714285714,3.46153846153846,1
174,AHAB,40.9808219178082,1,28,16,1,3,3.06666666666667,3.93333333333333,1.35714285714286
175,AHAB,54.558904109589,-1,30,24,1,3,4.46153846153846,4.42857142857143,1
176,AHAB,36.9232876712329,-1,41,10,0,9,3.86666666666667,3.76923076923077,1.07142857142857
177,AHAB,47.172602739726,-1,28,6,1,1,3.26666666666667,3.14285714285714,1
178,AHAB,54.2876712328767,1,36,8,1,4,3.07692307692308,4.46666666666667,1.28571428571429
179,AHAB,44.0849315068493,-1,32,21,1,1,2.92857142857143,2.8,1
180,AHAB,40.5808219178082,1,30,12,1,1,3.46666666666667,4.23076923076923,1
181,AHAB,32.1369863013699,-1,36,18,1,2,2.26666666666667,2.42857142857143,1
182,AHAB,41.6219178082192,1,25,18,1,1,3.46666666666667,4.4,1.15384615384615
