SubID,Sample,Age,Sex,ERQReappraisal,ERQSuppression,strategy1_reappraise_yn_final,strategy1_best_fit_final,RegNeg_Rating,LookNeg_Rating,LookNeuRating
41,PIP,44.2520547945205,-1,27,14,1,2,2.93333333333333,3.42857142857143,1
42,PIP,42.6493150684932,1,31,7,1,1,2.73333333333333,3.21428571428571,1.13333333333333
43,PIP,34.5479452054795,1,10,23,1,3,3.41666666666667,4.21428571428571,1.4
44,PIP,47.6986301369863,1,31,12,1,3,2.33333333333333,3.07142857142857,1.06666666666667
45,PIP,48.2219178082192,-1,32,16,1,4,2.13333333333333,4.38461538461539,1.26666666666667
46,PIP,34.4602739726027,1,40,16,1,3,4.30769230769231,4.46153846153846,1.07692307692308
47,PIP,32.9424657534247,1,32,14,1,2,1.86666666666667,2.85714285714286,1.23076923076923
48,PIP,48.1945205479452,-1,34,19,1,3,3.8,4.42857142857143,1.26666666666667
49,PIP,42.5424657534247,1,37,23,1,2,2.07692307692308,2.35714285714286,2.14285714285714
50,PIP,44.3205479452055,-1,36,14,1,1,2.76923076923077,3.92857142857143,1.07142857142857
51,PIP,45.3369863013699,1,19,19,1,3,3.86666666666667,4,1
52,PIP,50.9452054794521,-1,35,25,1,3,3.13333333333333,3.6,1
53,PIP,47.5479452054795,1,33,18,1,8,3.13333333333333,3.4,1.21428571428571
54,PIP,39.4356164383562,-1,25,19,1,2,4,4.64285714285714,1
55,PIP,37.8027397260274,1,24,12,1,3,2.14285714285714,3.53333333333333,1.93333333333333
56,PIP,35.2520547945205,-1,42,18,1,3,3,2.53333333333333,1
57,PIP,38.9123287671233,1,36,4,1,2,3.35714285714286,4.4,1.15384615384615
58,PIP,39.5178082191781,-1,27,24,0,9,4.53846153846154,2.66666666666667,2.07692307692308
59,PIP,32.5616438356164,-1,27,15,1,2,2.28571428571429,2.73333333333333,1.21428571428571
60,PIP,44.9835616438356,1,34,18,1,3,2.76923076923077,3.38461538461538,1.57142857142857
